"Campaign Title","Campaign Slug","Team","Team Member","Reference Number","First Name","Last Name","Email","Phone","Address Line 1","Address Line 2","City","State","Postal Code","Country","Company","Status Friendly","Fund ID","Fund Code","Fund Name","Appeal ID","Appeal Name","Appeal Code","Dedication Type","Dedication Name","Dedication Recipient Name","Dedication Recipient Email","Method","Method Subtype","CC Last Four","CC Expiration Date","Discount Code","Amount","Fee","Fee Covered","Givebutter Fee Covered","Donated","Payout","Payout Ref","Currency","Plan ID","Frequency","Plan Start Date (UTC)","Check Number","Check Deposited (UTC)","Dispute Status","Payment Captured (UTC)","Refund Date (UTC)","Transaction Date (UTC)","Acknowledged","Hide Name","Hide Amount","Public Name","Public Message","Donor's Local Timezone","Payment Captured (Donor's Local Timezone)","UTM Source","UTM Medium","UTM Campaign","UTM Term","UTM Content","Referrer","Widget Id","Match Name","Match Amount","External Label","Transaction External ID","Contact ID","Contact External ID","Contact First Name","Contact Last Name","Contact Type","Contact Company Name","Contact Email","Contact Phone","Contact Address Line 1","Contact Address Line 2","Contact City","Contact State","Contact Postal Code","Contact Country","Household ID","Household Name","Soft Credits","Total Soft Credits","Internal Note"
"Annual Fund","annual-fund","","","1000000016","Daniel","Lee","daniel.lee@webmail.com","+15553344556","111 Sequoia Court","","San Diego","CA","92101","USA","","Succeeded","","","","","","","","","","","ach","","","","","$1,500.00","$29.55","$29.55","","$1,500.00","$1,500.00","","USD","","one-time","","","","","2025-12-08 16:30:00","","2025-12-08 16:30:00","TRUE","FALSE","FALSE","Daniel Lee","Annual contribution","PST","2025-12-08 08:30:00","","","","","","","ABC123","","","","","10000013","","Daniel","Lee","individual","","daniel.lee@webmail.com","+15553344556","111 Sequoia Court","","San Diego","CA","92101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000017","Nancy","Harris","nharris@email.org","+15554455667","222 Magnolia Place","","Nashville","TN","37201","USA","","Succeeded","","","","","","","","","","","card","amex","6677","2028-02-28","","$200.00","$6.28","$6.28","","$200.00","$200.00","","USD","","one-time","","","","","2025-11-18 14:15:00","","2025-11-18 14:15:00","TRUE","FALSE","FALSE","Nancy Harris","","CST","2025-11-18 08:15:00","","","","","","","ABC123","","","","","10000014","","Nancy","Harris","individual","","nharris@email.org","+15554455667","222 Magnolia Place","","Nashville","TN","37201","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000018","","","giving@techstartup.io","+15555566778","500 Innovation Way","Floor 3","New York","NY","10001","USA","TechStartup Inc","Succeeded","","","","","","","","","","","check","","","","","$10,000.00","","","","$10,000.00","","","USD","","one-time","","5002","2025-11-10 00:00:00","","","","2025-11-10 11:00:00","TRUE","FALSE","FALSE","TechStartup Inc","Proud to support education","EST","2025-11-10 06:00:00","","","","","","","","","","","","10000015","","","","company","TechStartup Inc","giving@techstartup.io","+15555566778","500 Innovation Way","Floor 3","New York","NY","10001","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000019","Mark","Robinson","mark.robinson@fastmail.com","+15556677889","333 Hickory Hill","","Minneapolis","MN","55401","USA","","Succeeded","","","","","","","","","","","card","visa","8899","2027-07-31","","$35.00","$1.35","$1.35","","$35.00","$35.00","","USD","","one-time","","","","","2025-12-22 08:45:00","","2025-12-22 08:45:00","TRUE","FALSE","FALSE","Mark Robinson","","CST","2025-12-22 02:45:00","","","","","","","ABC123","","","","","10000016","","Mark","Robinson","individual","","mark.robinson@fastmail.com","+15556677889","333 Hickory Hill","","Minneapolis","MN","55401","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000020","Susan","Clark","sclark@provider.net","+15557788990","444 Chestnut Circle","","Detroit","MI","48201","USA","","Succeeded","","","","","","","","","","","digital_wallet","google_pay","0011","2028-05-31","","$75.00","$2.48","$2.48","","$75.00","$75.00","","USD","","one-time","","","","","2025-10-28 17:30:00","","2025-10-28 17:30:00","TRUE","FALSE","FALSE","Susan Clark","","EST","2025-10-28 13:30:00","","","","","","","ABC123","","","","","10000017","","Susan","Clark","individual","","sclark@provider.net","+15557788990","444 Chestnut Circle","","Detroit","MI","48201","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000021","Kevin","Lewis","kevin.lewis@email.com","+15558899001","666 Walnut Avenue","","Dallas","TX","75201","USA","","Succeeded","","","","","","","","","","","card","mastercard","1100","2027-08-31","","$300.00","$9.08","$9.08","","$300.00","$300.00","","USD","","one-time","","","","","2025-12-03 12:00:00","","2025-12-03 12:00:00","TRUE","FALSE","FALSE","Kevin Lewis","","CST","2025-12-03 06:00:00","","","","","","","ABC123","","","","","10000018","","Kevin","Lewis","individual","","kevin.lewis@email.com","+15558899001","666 Walnut Avenue","","Dallas","TX","75201","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000022","Barbara","Young","byoung@mailservice.com","+15559900112","777 Poplar Path","","Houston","TX","77001","USA","","Succeeded","","","","","","","","","","","card","visa","2211","2028-09-30","","$125.00","$3.96","$3.96","","$125.00","$125.00","","USD","","one-time","","","","","2025-11-12 09:30:00","","2025-11-12 09:30:00","TRUE","FALSE","FALSE","Barbara Young","","CST","2025-11-12 03:30:00","","","","","","","ABC123","","","","","10000019","","Barbara","Young","individual","","byoung@mailservice.com","+15559900112","777 Poplar Path","","Houston","TX","77001","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000023","Thomas","King","tking@business.com","+15550011223","123 Sycamore Street","","Las Vegas","NV","89101","USA","","Succeeded","","","","","","","","","","","paypal","paypal_account","","","","$60.00","$2.06","$2.06","","$60.00","$60.00","","USD","","one-time","","","","","2025-12-18 20:00:00","","2025-12-18 20:00:00","TRUE","FALSE","FALSE","Thomas King","","PST","2025-12-18 12:00:00","","","","","","","ABC123","","","","","10000020","","Thomas","King","individual","","tking@business.com","+15550011223","123 Sycamore Street","","Las Vegas","NV","89101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000024","Jennifer","Martinez","jennifer.martinez@email.com","+15551234567","742 Evergreen Terrace","","Springfield","IL","62701","USA","","Succeeded","","","","","","","","","","","card","visa","4521","2027-08-31","","$500.00","$14.80","$14.80","","$500.00","$500.00","","USD","","one-time","","","","","2025-09-15 14:30:00","","2025-09-15 14:30:00","TRUE","FALSE","FALSE","Jennifer Martinez","Second gift this year","EST","2025-09-15 09:30:00","","","","","","","ABC123","","","","","10000001","","Jennifer","Martinez","individual","","jennifer.martinez@email.com","+15551234567","742 Evergreen Terrace","","Springfield","IL","62701","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000025","","","donations@lawfirm.legal","+15551122000","200 Justice Boulevard","Suite 500","Washington","DC","20001","USA","Smith & Associates Law","Succeeded","","","","","","","","","","","check","","","","","$7,500.00","","","","$7,500.00","","","USD","","one-time","","5003","2025-10-20 00:00:00","","","","2025-10-20 15:00:00","TRUE","FALSE","FALSE","Smith & Associates Law","","EST","2025-10-20 11:00:00","","","","","","","","","","","","10000021","","","","company","Smith & Associates Law","donations@lawfirm.legal","+15551122000","200 Justice Boulevard","Suite 500","Washington","DC","20001","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000026","Rachel","Scott","rachel.scott@inbox.org","+15552233000","345 Cypress Way","","Orlando","FL","32801","USA","","Succeeded","","","","","","","","","","","card","discover","3322","2028-07-31","","$85.00","$2.80","$2.80","","$85.00","$85.00","","USD","","one-time","","","","","2025-12-28 11:15:00","","2025-12-28 11:15:00","TRUE","FALSE","FALSE","Rachel Scott","","EST","2025-12-28 06:15:00","","","","","","","ABC123","","","","","10000022","","Rachel","Scott","individual","","rachel.scott@inbox.org","+15552233000","345 Cypress Way","","Orlando","FL","32801","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000027","George","Adams","gadams@webhost.com","+15553344000","567 Palm Drive","","Tampa","FL","33601","USA","","Succeeded","","","","","","","","","","","card","amex","4433","2027-06-30","","$400.00","$12.00","$12.00","","$400.00","$400.00","","USD","","one-time","","","","","2025-11-05 16:45:00","","2025-11-05 16:45:00","TRUE","FALSE","FALSE","George Adams","","EST","2025-11-05 11:45:00","","","","","","","ABC123","","","","","10000023","","George","Adams","individual","","gadams@webhost.com","+15553344000","567 Palm Drive","","Tampa","FL","33601","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000028","Michelle","Turner","mturner@email.net","+15554455000","789 Beach Road","","San Jose","CA","95101","USA","","Refunded","","","","","","","","","","","card","visa","5544","2028-08-31","","$100.00","$3.30","$3.30","","$100.00","$100.00","","USD","","one-time","","","","","2025-11-22 10:00:00","2025-11-23 09:00:00","2025-11-22 10:00:00","TRUE","FALSE","FALSE","Michelle Turner","","PST","2025-11-22 02:00:00","","","","","","","ABC123","","","","","10000024","","Michelle","Turner","individual","","mturner@email.net","+15554455000","789 Beach Road","","San Jose","CA","95101","","","","","$0.00","Refund requested"
"Annual Fund","annual-fund","","","1000000029","Steven","Wright","swright@domain.org","+15555566000","890 Mountain View","","Salt Lake City","UT","84101","USA","","Succeeded","","","","","","","","","","","card","mastercard","6655","2027-12-31","","$175.00","$5.45","$5.45","","$175.00","$175.00","","USD","","one-time","","","","","2025-10-12 13:30:00","","2025-10-12 13:30:00","TRUE","FALSE","FALSE","Steven Wright","","MST","2025-10-12 07:30:00","","","","","","","ABC123","","","","","10000025","","Steven","Wright","individual","","swright@domain.org","+15555566000","890 Mountain View","","Salt Lake City","UT","84101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000030","Kimberly","Hall","khall@mailbox.com","+15556677000","234 Valley Road","","Portland","ME","04101","USA","","Succeeded","","","","","","","","","","","venmo","venmo_account","","","","$40.00","$1.48","$1.48","","$40.00","$40.00","","USD","","one-time","","","","","2025-12-30 18:20:00","","2025-12-30 18:20:00","TRUE","FALSE","FALSE","Kimberly Hall","","EST","2025-12-30 13:20:00","","","","","","","ABC123","","","","","10000026","","Kimberly","Hall","individual","","khall@mailbox.com","+15556677000","234 Valley Road","","Portland","ME","04101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000031","Edward","Green","egreen@fastmail.org","+15557788000","456 River Lane","","Kansas City","MO","64101","USA","","Succeeded","","","","","","","","","","","card","visa","7766","2028-10-31","","$20.00","$0.88","$0.88","","$20.00","$20.00","","USD","200003","monthly","2025-08-01 09:00:00","","","","2025-12-01 09:00:00","","2025-12-01 09:00:00","TRUE","FALSE","FALSE","Edward Green","","CST","2025-12-01 03:00:00","","","","","","","ABC123","","","","","10000027","","Edward","Green","individual","","egreen@fastmail.org","+15557788000","456 River Lane","","Kansas City","MO","64101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000032","Edward","Green","egreen@fastmail.org","+15557788000","456 River Lane","","Kansas City","MO","64101","USA","","Succeeded","","","","","","","","","","","card","visa","7766","2028-10-31","","$20.00","$0.88","$0.88","","$20.00","$20.00","","USD","200003","monthly","2025-08-01 09:00:00","","","","2025-11-01 09:00:00","","2025-11-01 09:00:00","TRUE","FALSE","FALSE","Edward Green","","CST","2025-11-01 03:00:00","","","","","","","ABC123","","","","","10000027","","Edward","Green","individual","","egreen@fastmail.org","+15557788000","456 River Lane","","Kansas City","MO","64101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000033","Edward","Green","egreen@fastmail.org","+15557788000","456 River Lane","","Kansas City","MO","64101","USA","","Succeeded","","","","","","","","","","","card","visa","7766","2028-10-31","","$20.00","$0.88","$0.88","","$20.00","$20.00","","USD","200003","monthly","2025-08-01 09:00:00","","","","2025-10-01 09:00:00","","2025-10-01 09:00:00","TRUE","FALSE","FALSE","Edward Green","","CST","2025-10-01 03:00:00","","","","","","","ABC123","","","","","10000027","","Edward","Green","individual","","egreen@fastmail.org","+15557788000","456 River Lane","","Kansas City","MO","64101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000034","Dorothy","Baker","dbaker@email.com","+15558899000","678 Lake Street","","Cleveland","OH","44101","USA","","Succeeded","","","","","","","","","","","card","amex","8877","2027-05-31","","$600.00","$17.70","$17.70","","$600.00","$600.00","","USD","","one-time","","","","","2025-11-28 14:00:00","","2025-11-28 14:00:00","TRUE","FALSE","FALSE","Dorothy Baker","","EST","2025-11-28 09:00:00","","","","","","","ABC123","","","","","10000028","","Dorothy","Baker","individual","","dbaker@email.com","+15558899000","678 Lake Street","","Cleveland","OH","44101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000035","Anthony","Nelson","anelson@workplace.org","+15559900000","890 Forest Avenue","","Columbus","OH","43201","USA","","Succeeded","","","","","","","","","","","digital_wallet","apple_pay","9988","2028-11-30","","$225.00","$7.03","$7.03","","$225.00","$225.00","","USD","","one-time","","","","","2025-12-14 11:45:00","","2025-12-14 11:45:00","TRUE","FALSE","FALSE","Anthony Nelson","","EST","2025-12-14 06:45:00","","","","","","","ABC123","","","","","10000029","","Anthony","Nelson","individual","","anelson@workplace.org","+15559900000","890 Forest Avenue","","Columbus","OH","43201","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000036","","","community@creditunion.coop","+15550000111","50 Financial Plaza","","Charlotte","NC","28201","USA","Community Credit Union","Succeeded","","","","","","","","","","","check","","","","","$3,500.00","","","","$3,500.00","","","USD","","one-time","","5004","2025-12-12 00:00:00","","","","2025-12-12 10:30:00","TRUE","FALSE","FALSE","Community Credit Union","","EST","2025-12-12 05:30:00","","","","","","","","","","","","10000030","","","","company","Community Credit Union","community@creditunion.coop","+15550000111","50 Financial Plaza","","Charlotte","NC","28201","","","","","$0.00",""
